temperature,humidity,hour,is_holiday,demand
29.0,74.6,0,0,6104.0
23.9,40.6,1,0,5560.0
30.2,42.2,2,0,5593.0
37.2,68.7,3,1,5612.0
23.1,59.0,4,0,5792.0
23.1,53.2,5,0,6163.0
37.6,75.2,6,0,7537.0
31.1,62.8,7,0,7420.0
21.2,60.8,8,0,7390.0
29.3,71.7,9,0,8234.0
21.3,54.4,10,0,8746.0
21.3,83.5,11,0,9049.0
26.9,48.2,12,0,10215.0
9.7,69.9,13,0,10345.0
11.2,81.5,14,0,10212.0
20.5,39.3,15,0,10182.0
16.9,54.8,16,0,10301.0
27.5,77.1,17,0,10115.0
17.7,77.4,18,0,9910.0
13.7,57.4,19,0,8966.0
36.7,49.0,20,0,9987.0
23.2,74.3,21,0,7694.0
25.5,77.8,22,0,7466.0
13.6,42.5,23,0,6778.0
20.6,41.9,0,0,6690.0
25.9,63.4,1,0,5612.0
15.8,69.4,2,0,5956.0
28.0,55.5,3,0,5260.0
20.2,70.2,4,0,5416.0
22.7,49.3,5,0,5586.0
20.2,28.3,6,0,6353.0
39.8,53.6,7,0,8338.0
24.9,60.9,8,0,7109.0
16.5,55.9,9,0,8041.0
31.6,42.6,10,1,7749.0
15.2,32.8,11,0,9208.0
26.7,52.3,12,0,9665.0
9.3,73.5,13,0,10444.0
14.4,78.8,14,0,10347.0
26.6,77.8,15,0,10561.0
30.9,47.8,16,1,9283.0
26.4,42.7,17,0,9859.0
24.1,67.4,18,0,9807.0
22.6,69.5,19,0,9069.0
13.2,66.0,20,0,8603.0
19.2,29.8,21,0,8061.0
21.3,47.0,22,0,6991.0
33.5,59.6,23,1,5797.0
27.7,67.3,0,0,6485.0
10.9,71.5,1,0,5789.0
27.6,62.2,2,0,5559.0
21.9,65.0,3,0,5633.0
19.6,61.3,4,0,5605.0
29.9,70.3,5,0,6289.0
33.2,64.7,6,0,7080.0
32.5,61.0,7,0,7507.0
18.3,56.0,8,0,7238.0
22.5,61.2,9,0,8039.0
27.7,67.3,10,0,8842.0
32.8,64.0,11,0,9807.0
21.2,65.7,12,1,8380.0
23.5,80.1,13,0,10068.0
16.1,64.0,14,0,10465.0
15.4,50.3,15,0,10426.0
31.5,73.3,16,0,10837.0
35.8,39.5,17,0,11326.0
24.4,43.8,18,0,9940.0
33.0,65.0,19,0,10001.0
27.9,67.7,20,0,8717.0
19.8,41.3,21,0,7926.0
27.9,54.3,22,0,7693.0
37.3,50.9,23,0,8324.0
24.7,52.7,0,0,6318.0
37.5,74.2,1,0,7325.0
4.0,70.6,2,0,5877.0
31.6,59.7,3,0,6015.0
25.7,51.8,4,0,5325.0
22.6,39.8,5,0,5936.0
25.7,81.3,6,0,6541.0
9.1,68.9,7,0,7118.0
23.2,49.4,8,0,7357.0
27.9,70.8,9,0,8009.0
36.8,58.9,10,0,10049.0
20.9,55.7,11,0,9147.0
18.5,66.5,12,1,8300.0
21.0,48.9,13,0,10061.0
32.3,54.8,14,0,11169.0
27.6,61.8,15,0,10545.0
20.8,52.5,16,0,10480.0
29.1,70.0,17,0,10203.0
25.8,88.0,18,0,10082.0
32.7,48.7,19,0,10009.0
19.4,35.0,20,0,8671.0
22.4,30.0,21,0,7848.0
21.9,57.7,22,0,7359.0
13.3,50.1,23,0,6823.0
27.4,63.1,0,0,6145.0
27.1,62.0,1,0,5863.0
25.0,36.0,2,0,5649.0
23.1,32.8,3,0,5611.0
13.7,64.4,4,0,5329.0
21.6,62.0,5,0,5894.0
22.3,53.6,6,0,6227.0
18.6,35.1,7,0,6796.0
23.7,67.1,8,0,7586.0
28.2,79.1,9,0,8445.0
40.1,64.2,10,0,10570.0
26.4,47.3,11,0,8953.0
